0	35
1	35
2	14
3	41
4	22
5	13
6	0
7	40
8	39
9	21
10	36
11	8
12	41
13	35
14	32
15	13
16	16
17	21
18	16
19	36
20	35
21	14
22	19
23	23
24	24
25	40
26	2
27	35
28	36
29	0
30	21
31	26
32	38
33	6
34	26
35	39
36	1
37	39
38	37
39	6
40	13
41	22
42	11
43	39
44	39
45	32
46	1
47	30
48	3
49	28
50	3
51	26
52	21
53	12
54	35
55	32
56	38
57	24
58	38
59	15
60	27
61	19
62	12
63	0
64	6
65	37
66	22
67	14
68	8
69	2
70	19
71	40
72	23
73	18
74	37
75	24
76	19
77	8
78	35
79	4
80	13
81	5
82	5
83	12
84	15
85	6
86	30
87	13
88	27
89	0
90	3
91	35
92	14
93	26
94	11
95	21
96	21
97	30
98	19
99	30
100	14
101	2
102	11
103	1
104	5
105	6
106	23
107	28
108	14
109	27
110	21
111	32
112	23
113	36
114	24
115	3
116	1
117	1
118	15
119	15
120	24
121	30
122	8
123	24
124	27
125	14
126	18
127	19
128	12
129	24
130	19
131	39
132	22
133	30
134	13
135	22
136	8
137	26
138	1
139	39
140	14
141	1
142	0
143	16
144	35
145	27
146	6
147	0
148	24
149	1
150	18
151	14
152	13
153	22
154	26
155	14
156	0
157	23
158	32
159	6
160	28
161	41
162	21
163	40
164	19
165	5
166	41
167	22
168	24
169	5
170	37
171	23
172	35
173	27
174	32
175	14
176	11
177	36
178	5
179	38
180	2
181	8
182	21
183	2
184	23
185	15
186	5
187	32
188	14
189	40
190	2
191	1
192	22
193	23
194	0
195	2
196	35
197	2
198	30
199	22
200	27
201	13
202	30
203	13
204	16
205	19
206	35
207	40
208	3
209	27
210	22
211	13
212	37
213	30
214	40
215	14
216	5
217	19
218	14
219	35
220	41
221	37
222	6
223	41
224	0
225	28
226	3
227	30
228	23
229	38
230	22
231	39
232	37
233	28
234	21
235	32
236	37
237	19
238	26
239	38
240	26
241	0
242	8
243	1
244	32
245	41
246	23
247	0
248	26
249	35
250	30
251	30
252	38
253	12
254	37
255	35
256	2
257	32
258	38
259	26
260	22
261	18
262	23
263	27
264	37
265	16
266	32
267	32
268	27
269	16
270	30
271	22
272	1
273	3
274	3
275	35
276	39
277	27
278	16
279	12
280	14
281	26
282	0
283	30
284	8
285	14
286	12
287	4
288	30
289	35
290	30
291	39
292	30
293	13
294	18
295	12
296	4
297	2
298	36
299	40
300	14
301	2
302	2
303	27
304	32
305	11
306	22
307	32
308	1
309	6
310	39
311	5
312	36
313	32
314	18
315	23
316	28
317	26
318	37
319	13
320	3
321	22
322	8
323	40
324	41
325	40
326	1
327	2
328	6
329	23
330	16
331	6
332	13
333	32
334	30
335	23
336	27
337	11
338	27
339	5
340	0
341	12
342	12
343	24
344	22
345	26
346	16
347	40
348	24
349	30
350	6
351	14
352	26
353	3
354	35
355	13
356	30
357	1
358	15
359	38
360	19
361	19
362	27
363	4
364	14
365	12
366	6
367	40
